name,prompt,seeds,guidance_scale
lightning godesss5,"cloud goddess with cloud texture, storm rolling goddess, lightning human standing, lightning limbs, green lightning fractal, cloud swirl, bright sky",2030210812915205 8650081645352471 7400327254726409 8109795995873523 3290769904462933 4316138755893365 3985309829153298 7254038869409435 5350291873802390 5196811919885937 4293580138193356 5584407213512975 2848925512849927 5332589249539080 492919481847274 5217708296243371 3808565083603736 4185120661929409,7.5
lightning godesss6,"cloud goddess with cloud texture,  storm rolling goddess, lightning striking trees, blazing flames, in a valley overlooking mountains, human standing, lightning limbs, white lightning fractal, red cloud swirl, red sky",7276607644350109 4117164838835706 827457408630274 7124800943853394 4504558126717788 8574956748155706 8547996032540022 2118192186980231,7.5
bleak forest2,"photographic oil painting, a bleak cold forest, hanging moss, rainy and wet, fractal shapes in the tree branches, intricate sky and branches, misty green gray background",1808755779399910 1349057331417771 8761268528223235 8975679782262008 8608252933617817 748788429609852 8954034932996684 2899770869406428 7684459397497989,7.5
spring forest2,"photographic oil painting, a bleak cold forest in spring, water trickling stream, dark budding dark green leaves, leaf veins, cherry blossom buds, birds, deer, green moss, dim fractal dusky sun colors, dim haze through canopy",6699050249354790 7975104461429338 2134900122348956 6673802258439964 5054288543937072 6042915237360944 3852062599545153 2052758390036335 2925517309402058 1905635882214314 6550261483477069 4545187987387966 8695653771599602,7.5
spring forest3,"photographic oil painting, a closeup forest in spring, dark budding dark green leaves, cherry blossom flower petals, green moss, fractal purple sun shining through canopy",523649128735766 1649768282847187 213697420504003 4144745487726701 5090691522431446 6801757485069491 7443097691214250 165670659752305 5410610967199777 7161278787264846,7.5
spring forest4,"photographic oil painting, a closeup forest in spring, budding green leaves, cherry blossom fractal, green moss, fractal dark purple sun shining through canopy",2912744759666280 139701997255405 3280873418086830 1073107044428559 1827424433162302 1848585706267628 4553961350595393 1391791963746917 4260390861253996 5961530017629100 5863521839649185 1303436340132161 5636900655158824 999026526079986 5642319527030198 2539697045869090 6390837918266757 4934988104138587 3552275767551510 2615034336941463 8461936303985204 3122871548624683 3916056762480328 8279445634058314 5516960965052350 216652310514133 7380098162766753 7160610112536832 3726631774215371,7.5
ent goddess2,"photographic oil painting, intricate tree, intricate tree bark, goddess of forest, dark emotive ent, treebeard, tree body, blue and purple fireflies in background, dark green lighting, backlit",4333363249993710 3225283580510398 2615015045624 7467247711546430 3277683223380021 5465206501829727 1305240970011376 5974543863174926 5733170205886670 5654998288222874 5384803579824281 1668305609290349 6431073121883031 247251896395648 4582206799928597 3373286487593487 4016655062336258 21576098289803 3365100344071777 3967541410246458 8821106089741122 1426875286788213 4684701582593644 7670995516103687 6440796674300028 5840439625148239 2442226247031280 8472093453414716 3068088246689440 6340070309034049 4175050655022295,7.5
forest fractal,art nouveau paisley forest green trees towering overhead geometric goddess face fractal in the lines of the branches,1211791917029913 5827885609806161 96421823442699,7.5
ent goddess,"goddess of forest, ent, treebeard, Greg Rutkowski, blue and purple fireflies in background",7278863642695197 4259726469180 426869046215691 1458272982832194 419100470802825 8867151081329748 5180509504463479 8990003222174849,7.5
bleak forest,"a bleak cold forest, hanging moss, rainy and wet, Greg Rutkowski",6767865004613778 6759047549409470 5110521351160071 8969398464633844,7.5
spring forest,"a forest in spring, budding trees, blossom, sun shining through canopy, Greg Rutkowski",4389454171519858 2529657157030241 660824223683001 2444218207884963,7.5
